,gene_id,hpa_location,provenance,StringID
414,KLRF2,plasma membrane:endomembrane system,uniprot,9606.ENSP00000438244
415,MCIDAS,nucleus,uniprot,9606.ENSP00000426359
416,STMP1,mitochondria:cytoplasm,uniprot,9606.ENSP00000425996
417,STMP1,plasma membrane:endomembrane system,uniprot,9606.ENSP00000425996
418,SLCO1B3-SLCO1B7,endoplasmic reticulum:endomembrane system,uniprot,9606.ENSP00000441269
419,SLCO1B3-SLCO1B7,plasma membrane:endomembrane system,uniprot,9606.ENSP00000441269
421,TMEM250,plasma membrane:endomembrane system,uniprot,9606.ENSP00000453019
422,TMEM250,nuclear membrane:nucleus,uniprot,9606.ENSP00000453019
423,TMEM250,nucleus,uniprot,9606.ENSP00000453019
424,TMEM250,cytoplasm,uniprot,9606.ENSP00000453019
