protein,Heat_target_0.1,Heat_target_0.2,Heat_target_0.3
9606.ENSP00000366898,6.862024019937962e-05,6.014378959662281e-05,5.8040732255904e-05
9606.ENSP00000383044,6.306412251433358e-05,5.932096973992884e-05,5.773012526333332e-05
9606.ENSP00000366542,4.592274854076095e-05,5.452114055515267e-05,5.6106713600456715e-05
9606.ENSP00000343577,4.2347215639892966e-05,5.4088173783384264e-05,5.644873817800544e-05
9606.ENSP00000417626,2.0590281565091573e-05,3.296680370112881e-05,4.007892857771367e-05
9606.ENSP00000215743,4.9714610213413835e-05,5.7286586525151506e-05,5.7296496379422024e-05
9606.ENSP00000360540,6.053048127796501e-05,5.876756404177286e-05,5.7530251069692895e-05
9606.ENSP00000378365,4.1150618926621974e-05,6.116746953921393e-05,6.502789619844407e-05
9606.ENSP00000228644,6.670998118352145e-05,6.017777559463866e-05,5.807924389955588e-05
9606.ENSP00000219789,6.276545173022896e-05,5.938624599366449e-05,5.764726302004419e-05
9606.ENSP00000439120,7.944019307615235e-05,6.1027145420666784e-05,5.8204961533192545e-05
9606.ENSP00000264451,6.055613994249143e-05,6.0604215832427144e-05,5.8689121942734346e-05
9606.ENSP00000353165,3.0309700377983972e-05,4.810016980627552e-05,5.4277894378174096e-05
9606.ENSP00000323872,2.404664155619685e-05,3.792768984567374e-05,4.56894158560317e-05
9606.ENSP00000163416,6.118333112681285e-05,5.908786988584325e-05,5.771525684394874e-05
9606.ENSP00000240361,4.9465019401395693e-05,5.5963260820135474e-05,5.566763138631359e-05
9606.ENSP00000339613,2.016983125940897e-05,3.342191848787479e-05,4.160926619078964e-05
9606.ENSP00000256196,6.19115453446284e-05,5.919479372096248e-05,5.76963102503214e-05
9606.ENSP00000427015,6.524129275931045e-05,6.0495887737488374e-05,5.818868157803081e-05
9606.ENSP00000422907,6.53608949505724e-05,5.983472874504514e-05,5.80269806960132e-05
9606.ENSP00000477907,6.459866563091055e-05,5.959061672911048e-05,5.7807639677776024e-05
9606.ENSP00000400223,3.197817932232283e-05,4.887608156423085e-05,5.4604945034952834e-05
9606.ENSP00000358374,6.259671499719843e-05,5.966677053947933e-05,5.7922970881918445e-05
9606.ENSP00000265963,6.489991210401058e-05,5.968887489871122e-05,5.787135160062462e-05
9606.ENSP00000303208,6.243866664590314e-05,5.925322329858318e-05,5.772967779194005e-05
9606.ENSP00000378165,6.916241545695812e-05,6.0074995417380705e-05,5.797889389214106e-05
9606.ENSP00000464006,6.152620335342363e-05,5.962586510577239e-05,5.793059608549811e-05
9606.ENSP00000305459,6.335142097668722e-05,5.963273724773899e-05,5.793737727799453e-05
9606.ENSP00000263966,6.336518708849326e-05,5.946231976849958e-05,5.7795954489847645e-05
9606.ENSP00000380033,6.340364780044183e-05,5.946070814388804e-05,5.7769771956373006e-05
9606.ENSP00000379658,6.47526394459419e-05,5.95578458160162e-05,5.784607492387295e-05
9606.ENSP00000396320,6.18798949290067e-05,5.93123804719653e-05,5.775789759354666e-05
9606.ENSP00000447149,8.005472045624629e-05,6.195435707923025e-05,5.8920788433169946e-05
9606.ENSP00000367049,6.021282752044499e-05,5.927090751356445e-05,5.784658787888475e-05
9606.ENSP00000345728,5.9699552366510034e-05,5.887656152481213e-05,5.766261892858893e-05
9606.ENSP00000443551,5.071718987892382e-05,5.718030297430232e-05,5.734750448027626e-05
9606.ENSP00000428572,2.613117976579815e-05,4.2267558455932885e-05,4.993806942366064e-05
9606.ENSP00000377123,4.893465302302502e-05,5.718000102206133e-05,5.754594531026669e-05
9606.ENSP00000291634,6.215424946276471e-05,5.944885197095573e-05,5.784477980341762e-05
9606.ENSP00000405899,2.9935774364275854e-05,4.771731255459599e-05,5.392594539443962e-05
9606.ENSP00000357693,7.058264600345865e-05,6.040485459379852e-05,5.8199908380629495e-05
9606.ENSP00000358232,0.0001005387675832,6.569839752046391e-05,5.919724571867846e-05
9606.ENSP00000301050,5.853026232216507e-05,5.8813398936763406e-05,5.753090590587817e-05
9606.ENSP00000272771,3.1904484785627574e-05,4.664931111619808e-05,5.257147495285608e-05
9606.ENSP00000256496,6.180703348945826e-05,5.9137695643585175e-05,5.767639959231019e-05
9606.ENSP00000421258,1.02904286904959e-05,1.8283380995853804e-05,2.4721084628254175e-05
9606.ENSP00000064780,3.735008431249298e-05,5.1780411013169214e-05,5.5532564147142693e-05
9606.ENSP00000366897,5.016257637180388e-05,5.599915311904624e-05,5.585025792242959e-05
9606.ENSP00000315997,5.924496872466989e-05,5.8631092542782426e-05,5.767666516476311e-05
9606.ENSP00000350314,1.3039462828601245e-05,2.527416108932812e-05,3.380950147402473e-05
9606.ENSP00000296280,4.7172241465887055e-05,5.509456241270527e-05,5.622731987386942e-05
9606.ENSP00000426167,6.364913861034438e-05,5.971752034383826e-05,5.792057709186338e-05
9606.ENSP00000369099,3.3993026590906084e-05,4.953605821356177e-05,5.470047108246945e-05
9606.ENSP00000345001,6.5036270825658e-05,6.010786091792397e-05,5.8075806009583175e-05
9606.ENSP00000329904,6.329219104372896e-06,1.1396256923035253e-05,1.581006836204324e-05
9606.ENSP00000307863,6.330501491902396e-05,5.949210390099324e-05,5.779905404779129e-05
9606.ENSP00000465039,6.292268517427146e-05,5.941485505900346e-05,5.784290260635317e-05
9606.ENSP00000349575,6.082812979002483e-05,5.972751750960015e-05,5.7988141634268686e-05
9606.ENSP00000352157,6.371078779920936e-05,5.947620593360625e-05,5.778003469458781e-05
9606.ENSP00000301258,3.344405922689475e-05,4.874073420069181e-05,5.406899799709208e-05
9606.ENSP00000297107,5.498355312738568e-05,5.790729483123869e-05,5.7482480769976974e-05
9606.ENSP00000362095,3.1006096833152696e-05,4.730674118036404e-05,5.354392487788573e-05
9606.ENSP00000253363,6.342444976326078e-05,5.945501470705494e-05,5.777852857136168e-05
9606.ENSP00000350928,6.1820748669561e-05,5.935025910730474e-05,5.778047125204466e-05
9606.ENSP00000370253,6.636760372202843e-05,6.0014051996404305e-05,5.797811900265515e-05
9606.ENSP00000371000,6.40052167000249e-05,5.954163134447299e-05,5.782217704108916e-05
9606.ENSP00000231487,6.508420483442023e-05,5.93049444432836e-05,5.759561463491991e-05
9606.ENSP00000396954,9.22481412999332e-05,6.241862865863368e-05,5.837310163769871e-05
9606.ENSP00000341208,6.263780232984573e-05,5.909518949920312e-05,5.765668902313337e-05
9606.ENSP00000476955,6.342198321362957e-05,5.9563251852523535e-05,5.7831832236843184e-05
9606.ENSP00000272647,5.431622776086442e-05,5.933472129981965e-05,5.818948193336837e-05
9606.ENSP00000230732,7.09596206434071e-05,6.151660636533052e-05,5.847090142196976e-05
9606.ENSP00000380489,5.819592115585692e-05,5.743246947531589e-05,5.636286368826404e-05
9606.ENSP00000339109,6.328411109279841e-05,5.935712033533491e-05,5.77328319195658e-05
9606.ENSP00000453704,6.533277337439358e-05,6.018919521011412e-05,5.803510430268943e-05
9606.ENSP00000347978,6.445687176892534e-05,5.966673052171245e-05,5.785875328001566e-05
9606.ENSP00000355434,2.7077685444965027e-06,7.201220796559937e-06,1.1629919754341245e-05
9606.ENSP00000362525,6.0378639318514615e-05,5.9760430303867906e-05,5.812867675558664e-05
