protein,RW_20_0.1,RW_20_0.2,RW_20_0.3,RW_20_0.4,RW_20_0.5,RW_20_0.6,RW_20_0.7,RW_20_0.8,RW_20_0.9,RW_20_1.0
9606.ENSP00000353414,0.0012968129813089,0.0023489076338591,0.0034816499683074,0.0043719078312278,0.0059899597836192,0.0071244089704123,0.0080950212868629,0.0087428142724093,0.0098763175847125,0.01117245273781
9606.ENSP00000261758,0.000635308027995,0.0011513692079461,0.0017073259186872,0.0021443389450723,0.0029383473047346,0.0034945391089422,0.0039716785431664,0.0042895906917692,0.0048452781884407,0.00548071594676
9606.ENSP00000265062,0.0030948677595006,0.0056123860558727,0.0083233531186124,0.0104518399457447,0.0143251447298098,0.0170377183094387,0.0193614063318818,0.0209103341767331,0.0236201862426241,0.0267198553920025
9606.ENSP00000269228,0.0006276925487327,0.0011375423746358,0.0016869441133167,0.0021189508734096,0.0029032045058556,0.00345291497797,0.0039238744138856,0.004238206474838,0.0047872412469587,0.0054152416778379
9606.ENSP00000273398,0.0027504301833687,0.0049832959630293,0.0073887048056349,0.009278982921387,0.0127144294820027,0.0151222247368423,0.0171839250979246,0.018559267206001,0.0209651880868477,0.0237152893823804
9606.ENSP00000376587,0.0003459141025814,0.0006270839330682,0.0009294786304963,0.001167143082057,0.0015991569325706,0.001901924770209,0.0021610958210658,0.0023340017014561,0.0026365188023191,0.0029823424811183
9606.ENSP00000267199,0.0013602718972833,0.0024659910923219,0.0036570117081282,0.0045930725973448,0.0062931483262218,0.0074835179184447,0.0085034281364642,0.0091836949359276,0.0103747791581554,0.0117352751403814
9606.ENSP00000258654,0.0013508641350199,0.0024496142505086,0.0036331156370579,0.004562184367387,0.0062531947478419,0.0074375378972035,0.0084519614974851,0.0091281210552551,0.0103110702766571,0.011664383659081
9606.ENSP00000299767,0.006930236442713,0.0125627510424237,0.0186287237447686,0.0233945634390693,0.0320583910506684,0.0381242088915314,0.0433234934753272,0.0467896016489248,0.0528550560993608,0.0597873758233618
9606.ENSP00000253699,0.0006109006535552,0.0011076294540544,0.0016427094196842,0.0020628244274121,0.0028273138523218,0.0033626873191678,0.0038213258812902,0.0041270554866059,0.004661951395974,0.0052737107253051
9606.ENSP00000261537,0.0100216485443525,0.0181632509338669,0.0269320876104757,0.0338236691895872,0.0463503650971688,0.0551212889258749,0.0626363708870485,0.067648263531737,0.0764162801788188,0.0864392454386688
9606.ENSP00000261880,0.0001607437352504,0.0002914470114774,0.0004322518934714,0.0005427944843177,0.0007439531782438,0.0008848251609379,0.0010055038583232,0.001085954231712,0.0012267078955119,0.0013876822449674
9606.ENSP00000447053,0.0037877933646086,0.0068644705752376,0.0101785647711949,0.0127846666437108,0.0175191449670819,0.0208352075133007,0.0236757153470534,0.0255704604496713,0.028884238548926,0.0326719131553545
9606.ENSP00000363162,0.0006919295337866,0.0012534175475593,0.0018586404839879,0.0023342460553976,0.0031983044464141,0.0038046595873311,0.0043236312376393,0.0046699189042556,0.0052752496849279,0.0059670674854714
