protein,RWR_target_0.2,RWR_target_0.4,RWR_target_0.6
9606.ENSP00000335592,1.75335707208732e-05,7.013312879072072e-06,1.9382642212213126e-06
9606.ENSP00000435300,5.472396096538942e-06,2.16563964869683e-06,6.011882353797471e-07
9606.ENSP00000248306,8.449671819264906e-07,3.031006425547741e-07,6.746289794196191e-08
9606.ENSP00000477760,1.4144975531459472e-05,4.811372994842473e-06,1.319732502692894e-06
9606.ENSP00000337088,3.689891062100278e-05,1.7118910452733083e-05,6.619234689759984e-06
9606.ENSP00000303490,1.1656901743675048e-06,4.066543904557907e-07,9.815754708053034e-08
9606.ENSP00000451818,8.297779930769303e-05,3.7125301934736295e-05,1.42342394920018e-05
9606.ENSP00000264606,0.000120386497743,5.6667016335289375e-05,2.277711048055848e-05
9606.ENSP00000426638,3.7557190102035574e-05,2.359902984281184e-05,1.1773261711412631e-05
9606.ENSP00000337128,1.8881509843378391e-06,9.007661911302174e-07,2.747336230914058e-07
9606.ENSP00000400852,4.007679536839747e-06,1.0082216029779884e-06,2.0438092460866766e-07
9606.ENSP00000370010,5.080590665635493e-05,4.5169778828690526e-05,2.6864629431885765e-05
9606.ENSP00000420714,7.605531359018259e-05,2.2039516623913717e-05,4.912301537443028e-06
9606.ENSP00000383698,1.3091871501034582e-06,5.107635154127944e-07,1.421530882031948e-07
9606.ENSP00000380921,0.0001719123546788,0.0001213469154862,6.285448142262018e-05
9606.ENSP00000394417,4.980227805803817e-05,2.232443760373412e-05,9.298785761715015e-06
9606.ENSP00000320043,1.923959492420932e-05,8.551823327560956e-06,2.4865728057455906e-06
9606.ENSP00000301318,1.2633491679440556e-05,3.2391048716672036e-06,6.758235181746646e-07
9606.ENSP00000439454,1.0492852712092469e-06,5.315289954437976e-07,1.717025769076472e-07
9606.ENSP00000261880,1.6199387987778063e-05,1.3418619406871156e-05,7.672109627694464e-06
9606.ENSP00000342148,1.2804681451645646e-06,5.017811701495803e-07,1.3343415947534398e-07
9606.ENSP00000322251,1.7652354523850604e-05,7.339452494450524e-06,2.2305752530055216e-06
9606.ENSP00000365006,2.2176744878157137e-05,1.6667696263824785e-05,8.653638285981529e-06
9606.ENSP00000378996,3.985720221737131e-06,1.5633081822840846e-06,4.263218246101891e-07
9606.ENSP00000261386,9.224110537255456e-06,4.141562152502729e-06,1.3927019236818267e-06
9606.ENSP00000247005,1.3981994092178438e-05,5.88079245305269e-06,1.6442839775252395e-06
9606.ENSP00000480291,5.047890743240028e-06,2.502253268783607e-06,1.021549078811142e-06
9606.ENSP00000417214,2.8157304371259324e-06,1.2661302329360366e-06,3.933232388054545e-07
9606.ENSP00000267973,6.036018289626947e-05,2.1880242867316157e-05,6.605881932014614e-06
9606.ENSP00000411010,2.8626967049379305e-05,8.89640346428186e-06,2.414355134595479e-06
9606.ENSP00000479716,3.5883229878067303e-06,1.264691162747026e-06,3.1545380527723946e-07
9606.ENSP00000271588,5.871957833337113e-05,2.8645635776401487e-05,1.0647404017510754e-05
9606.ENSP00000414330,1.5601412556180807e-06,7.885884320998438e-07,2.4727851687345306e-07
9606.ENSP00000432472,2.236120578248932e-05,8.711045459835606e-06,2.3661357169263644e-06
9606.ENSP00000007414,1.0704187599228587e-05,4.586574864585351e-06,1.3652723196391585e-06
9606.ENSP00000411672,1.547965711335615e-05,5.4361791999232475e-06,1.3519905654177674e-06
9606.ENSP00000221399,7.24305418304428e-06,2.9390244163273907e-06,8.585928728524014e-07
9606.ENSP00000391788,4.629388425857768e-06,1.7903501975580087e-06,4.887728218085742e-07
9606.ENSP00000412927,4.218408255347672e-05,2.3213512799442093e-05,8.924011677035088e-06
9606.ENSP00000360310,5.367416255022937e-06,2.095565404783448e-06,5.928956629707642e-07
9606.ENSP00000340823,5.285287064345472e-05,1.8550114543535417e-05,5.209197725235206e-06
9606.ENSP00000251507,9.696195895997991e-05,8.203943164931005e-05,4.805370819813215e-05
9606.ENSP00000264832,0.0009735593111668,0.0013648797275347,0.0013197735194251
9606.ENSP00000315064,5.449623912368572e-06,1.829625078345145e-06,4.540421660994816e-07
9606.ENSP00000216416,2.323191240909291e-05,1.014739031514954e-05,3.2730647741443136e-06
9606.ENSP00000414066,9.631184300360138e-06,3.909893088674579e-06,1.1304472791688851e-06
9606.ENSP00000327467,7.243773750646215e-06,2.9148487419724973e-06,8.015646999225291e-07
9606.ENSP00000301917,2.8900645347405947e-06,1.2462908315558384e-06,3.550431609897285e-07
9606.ENSP00000378089,6.324519625370575e-06,3.654296277592989e-06,1.3059114191021053e-06
9606.ENSP00000298283,8.233648065207448e-05,2.6766817430414265e-05,7.376428443729319e-06
9606.ENSP00000368856,0.0001004052920845,3.99603727528718e-05,1.2810878615441869e-05
9606.ENSP00000320318,4.966688957481912e-06,3.4286375733920394e-06,1.7283386026356212e-06
9606.ENSP00000330393,7.80287246696957e-05,6.018604806475949e-05,3.0094546358798153e-05
9606.ENSP00000343871,3.374358772767032e-05,1.5149676134802474e-05,5.7061457711678485e-06
9606.ENSP00000326737,1.296512281298982e-05,6.171670543129383e-06,1.933723564925028e-06
9606.ENSP00000400839,1.1223019531737974e-06,4.586353875227536e-07,1.202852232829717e-07
9606.ENSP00000376786,5.070431007947345e-06,2.0824414626164723e-06,5.971934291695055e-07
9606.ENSP00000483467,9.799785234132274e-07,6.010660017538558e-07,2.343380627469189e-07
9606.ENSP00000419266,2.773674268603876e-06,9.492852377041664e-07,2.364737905067824e-07
9606.ENSP00000385142,8.294989429607653e-05,4.456921252077001e-05,1.922360800935671e-05
9606.ENSP00000265643,1.1099887418732008e-05,5.1349301433735935e-06,1.541265742486269e-06
9606.ENSP00000324605,5.907751671268768e-07,1.8414858779998186e-07,4.0853426018775496e-08
9606.ENSP00000301873,2.0685203731876837e-05,1.2346754258617742e-05,4.929663571600944e-06
9606.ENSP00000390778,3.371522739647358e-05,1.254262328728785e-05,3.7394711821638977e-06
9606.ENSP00000377668,6.193533820609708e-05,3.3896054434213724e-05,1.554505714355155e-05
9606.ENSP00000303028,4.6996780289910485e-06,2.815028879500772e-06,1.0599043199469118e-06
9606.ENSP00000378743,2.0129081554847345e-05,7.186192723235965e-06,1.861737579852654e-06
9606.ENSP00000222005,0.0001087196707251,5.1301569336803656e-05,1.921232535795279e-05
9606.ENSP00000318429,3.342891976199751e-05,1.153649099823832e-05,3.1526884066214863e-06
9606.ENSP00000292586,3.874066437138551e-07,1.2136539745324525e-07,2.7741288198514244e-08
9606.ENSP00000346340,2.5024332084085453e-05,9.343755654254002e-06,2.4546957537754046e-06
9606.ENSP00000257245,1.791641478675779e-05,6.648427613085406e-06,1.7418837937920133e-06
9606.ENSP00000339906,7.99478191229243e-06,2.736177092331023e-06,6.750721753548053e-07
9606.ENSP00000405575,5.183284233758654e-05,2.88918442744355e-05,1.3108623385587564e-05
