protein,RNA line ab,binary_RNA line ab
9606.ENSP00000225573,19.4,1
9606.ENSP00000225576,8.4,1
9606.ENSP00000225577,36,1
9606.ENSP00000225609,14.7,1
9606.ENSP00000225655,1383.6,1
9606.ENSP00000225665,88.1,1
9606.ENSP00000225688,0.3,1
9606.ENSP00000225698,756.7,1
9606.ENSP00000225719,32.7,1
9606.ENSP00000225724,43.1,1
9606.ENSP00000225726,99.3,1
9606.ENSP00000225728,29.2,1
9606.ENSP00000225729,28.5,1
9606.ENSP00000225737,18.1,1
9606.ENSP00000225777,39.9,1
9606.ENSP00000225792,361.6,1
9606.ENSP00000225823,0,0
9606.ENSP00000225831,4.3,1
9606.ENSP00000225842,0,0
9606.ENSP00000225844,0,0
